iso3,annee,z_conflits,lag_z,cluster
SSD,2003,-0.4184602080046008,0.3228888282756557,NS
SWZ,2003,-0.4184602080046008,-0.4184602080046008,NS
TCD,2003,-0.2648985463031575,-0.07937354000163183,NS
TGO,2003,-0.4184602080046008,-0.4184602080046008,NS
TZA,2003,-0.4184602080046008,0.5438902512124311,NS
UGA,2003,1.6330908833536366,-0.31129540829688507,NS
ZAF,2003,-0.4184602080046008,-0.41341407863282514,NS
ZMB,2003,-0.4184602080046008,-0.2633071750762232,NS
ZWE,2003,-0.3881834317739469,-0.4184602080046008,NS
AGO,2004,0.13650600493449902,-0.33344041813287423,NS
BDI,2004,4.04656940745929,-0.28772861142618955,NS
BEN,2004,-0.4074952383764611,-0.31330606139748357,NS
BFA,2004,-0.4074952383764611,-0.26186490954419617,NS
BWA,2004,-0.4074952383764611,-0.3961249022376773,NS
CAF,2004,-0.020966403852145793,0.24960970884748462,NS
CIV,2004,0.33955082386306173,-0.3905489187580585,NS
CMR,2004,-0.3739234952944406,-0.19775069399062392,NS
COD,2004,-0.11127595740211348,0.6046034493088287,NS
COG,2004,-0.4074952383764611,-0.1554310179981324,NS
DJI,2004,-0.4074952383764611,0.021095345427165846,NS
ERI,2004,-0.4074952383764611,0.903449358409442,NS
ETH,2004,0.4496859292307928,0.4973580835359147,NS
GAB,2004,-0.4074952383764611,-0.39630465734912096,NS
GHA,2004,-0.4074952383764611,-0.1584798842966202,NS
GIN,2004,-0.4074952383764611,-0.26041078280529667,NS
GMB,2004,-0.07273616039299678,-0.3567661652810105,NS
GNB,2004,-0.4074952383764611,-0.3821307018287358,NS
GNQ,2004,-0.4074952383764611,-0.3907093668354509,NS
KEN,2004,-0.3434138086644196,0.9540607440713645,LH
LBR,2004,-0.4074952383764611,-0.1584798842966202,NS
LSO,2004,-0.4074952383764611,-0.36201389382132587,NS
MDG,2004,-0.4074952383764611,0,NS
MLI,2004,-0.3227636402844479,-0.2675319970436233,NS
MOZ,2004,-0.37937496253600417,-0.3999150142839385,NS
MRT,2004,-0.4074952383764611,-0.3397649027827292,NS
MWI,2004,-0.4074952383764611,-0.3981218130963088,NS
NAM,2004,-0.4074952383764611,-0.28959872080324206,NS
NER,2004,-0.3654909257144077,-0.21616123239991689,NS
NGA,2004,-0.07274284312260425,-0.2543047153062299,NS
RWA,2004,-0.3444146384999941,1.6953789597310926,LH
SDN,2004,2.6681573843739943,-0.051316030642777066,NS
SEN,2004,-0.3567661652810105,-0.32359710316136564,NS
SLE,2004,-0.4074952383764611,-0.4074952383764611,NS
SOM,2004,1.881890640635297,0.0531360602831866,NS
SSD,2004,-0.4074952383764611,0.9826507951549605,LH
SWZ,2004,-0.4074952383764611,-0.37069442817866505,NS
TCD,2004,0.12969079816038992,0.36700674327807914,NS
TGO,2004,-0.4074952383764611,-0.4074952383764611,NS
TZA,2004,-0.4074952383764611,0.6633521488559364,LH
UGA,2004,3.2537176272436548,-0.3228189762638899,NS
ZAF,2004,-0.36201389382132587,-0.4028085257363849,NS
ZMB,2004,-0.4074952383764611,-0.29895263836074054,NS
ZWE,2004,-0.4074952383764611,-0.3927749142973427,NS
AGO,2005,-0.10476797252031311,-0.21179213735454433,NS
BDI,2005,3.9899235106106965,-0.34274634933908255,NS
BEN,2005,-0.4071203932876399,0.7139003749744955,NS
